n_classes,n_samples,n_features,selected_features,method,mean_s,std_s,repeats,internal_workers,scaler
3,100,100,10,CONMI_FS,2.287460407614708,0.016363696444599223,5,1,standard
3,100,100,10,MS_linear,0.11759055480360985,0.006439323042349665,5,1,standard
3,100,100,10,greedy,24.97316366028972,3.764980147974236,5,1,standard
3,100,100,10,mRMR,21.052541389968248,2.1825083780420833,5,1,standard
3,100,100,10,mRMR_MS_linear,23.643056535022332,1.725372214699511,5,1,standard
3,100,500,10,CONMI_FS,9.40941536705941,2.012868897009321,5,1,standard
3,100,500,10,MS_linear,0.2590829757973552,0.028588500152570345,5,1,standard
3,100,500,10,greedy,140.19147239001467,4.953524399906863,5,1,standard
3,100,500,10,mRMR,116.23846954000183,4.084856852537471,5,1,standard
3,100,500,10,mRMR_MS_linear,121.3770177718252,3.647058127928124,5,1,standard
3,100,2000,10,CONMI_FS,35.705325132980946,2.7158181918073483,5,1,standard
3,100,2000,10,MS_linear,1.9712551350239664,0.42044594245479094,5,1,standard
3,100,2000,10,greedy,584.0593620799482,7.582320149797271,5,1,standard
3,100,2000,10,mRMR,522.0857420138549,8.419512695390928,5,1,standard
3,100,2000,10,mRMR_MS_linear,538.5473749493249,8.564727038794686,5,1,standard
3,500,100,10,CONMI_FS,2.0064220651984215,0.3980531237915899,5,1,standard
3,500,100,10,MS_linear,0.7188616026658565,0.04240482645287526,5,1,standard
3,500,100,10,greedy,74.40441694576293,6.063593776705172,5,1,standard
3,500,100,10,mRMR,124.40377996163443,7.312552453049686,5,1,standard
3,500,100,10,mRMR_MS_linear,132.7622226287611,5.814897116690834,5,1,standard
3,500,500,10,CONMI_FS,9.515267130546272,2.3643091346228764,5,1,standard
3,500,500,10,MS_linear,3.110020443145186,0.8028228852549433,5,1,standard
3,500,500,10,greedy,356.53797092461025,7.288161915596372,5,1,standard
3,500,500,10,mRMR,708.0655076253694,17.233440178300356,5,1,standard
3,500,500,10,mRMR_MS_linear,709.1419822980184,11.507632805495085,5,1,standard
3,500,2000,10,CONMI_FS,31.233060332015157,2.895306993301102,5,1,standard
3,500,2000,10,MS_linear,10.210443140985443,2.662472690123833,5,1,standard
3,500,2000,10,greedy,1573.05024644793,48.68558923741681,5,1,standard
3,500,2000,10,mRMR,2693.356986206351,22.366329670928266,5,1,standard
3,500,2000,10,mRMR_MS_linear,2845.4978498862592,45.57255901117869,5,1,standard
3,1500,100,10,CONMI_FS,1.810063026752323,0.7403772730303014,5,1,standard
3,1500,100,10,MS_linear,2.5216595451813193,0.04335307866960395,5,1,standard
3,1500,100,10,greedy,304.7344773810357,29.193346792628926,5,1,standard
3,1500,100,10,mRMR,565.0220444079954,14.748842284146805,5,1,standard
3,1500,100,10,mRMR_MS_linear,598.7123147835955,9.030151366422745,5,1,standard
3,1500,500,10,CONMI_FS,7.2283645394258205,0.6763449797740355,5,1,standard
3,1500,500,10,MS_linear,6.942637887271121,0.5159039555464083,5,1,standard
3,1500,500,10,greedy,1372.594732048968,16.979482262372095,5,1,standard
3,1500,500,10,mRMR,2354.908316528611,165.39980441681763,5,1,standard
3,1500,500,10,mRMR_MS_linear,2643.918973764172,566.8352994285815,5,1,standard
3,1500,2000,10,CONMI_FS,19.780127572780476,0.5051029611950258,5,1,standard
3,1500,2000,10,MS_linear,27.950964252185077,1.2160270325701277,5,1,standard
3,1500,2000,10,greedy,3263.205763903586,20.467169249840637,5,1,standard
3,1500,2000,10,mRMR,9977.681832983531,2728.438565634036,5,1,standard
3,1500,2000,10,mRMR_MS_linear,12103.9832272592,200.53874966353854,5,1,standard
5,100,100,10,CONMI_FS,0.6720179966650903,0.005812965659779648,5,1,standard
5,100,100,10,MS_linear,0.03691214737482369,0.0033532770166941283,5,1,standard
5,100,100,10,greedy,11.408142668614165,0.04690269677977928,5,1,standard
5,100,100,10,mRMR,9.470710326964035,0.8565035702030973,5,1,standard
5,100,100,10,mRMR_MS_linear,10.594992169179022,1.264588461752704,5,1,standard
5,100,500,10,CONMI_FS,3.4398054586257785,0.012521757759697244,5,1,standard
5,100,500,10,MS_linear,0.16978017962537706,0.010813973674729,5,1,standard
5,100,500,10,greedy,59.80829932596534,0.6471498504692269,5,1,standard
5,100,500,10,mRMR,52.60230289059691,3.7148963622799354,5,1,standard
5,100,500,10,mRMR_MS_linear,55.786308688065034,2.252961485572831,5,1,standard
5,100,2000,10,CONMI_FS,14.251461722236126,0.5890586339032976,5,1,standard
5,100,2000,10,MS_linear,0.7564648979809135,0.04062427022469741,5,1,standard
5,100,2000,10,greedy,255.3731939847581,0.32572544220097005,5,1,standard
5,100,2000,10,mRMR,227.63625842020846,3.548519795518047,5,1,standard
5,100,2000,10,mRMR_MS_linear,232.58166965059937,3.7765723568434812,5,1,standard
5,500,100,10,CONMI_FS,0.9957331575918943,0.3653750747244447,5,1,standard
5,500,100,10,MS_linear,0.22985073421150445,0.007382420318983874,5,1,standard
5,500,100,10,greedy,40.01721409596503,0.028644645357398104,5,1,standard
5,500,100,10,mRMR,53.754584214836356,0.45164599087916796,5,1,standard
5,500,100,10,mRMR_MS_linear,54.68554243301041,1.4111338875739419,5,1,standard
5,500,500,10,CONMI_FS,3.8259217983111737,0.011315299010103589,5,1,standard
5,500,500,10,MS_linear,1.0983917548786848,0.035332531893515644,5,1,standard
5,500,500,10,greedy,221.0514026335906,0.8104860152176318,5,1,standard
5,500,500,10,mRMR,277.2562647285871,1.3902971154325898,5,1,standard
5,500,500,10,mRMR_MS_linear,289.22651399546305,0.8787703484531264,5,1,standard
5,500,2000,10,CONMI_FS,15.495763971377164,0.34689064860808616,5,1,standard
5,500,2000,10,MS_linear,5.243570821778849,0.7059809887808997,5,1,standard
5,500,2000,10,greedy,920.0662490407937,3.8155943914614006,5,1,standard
5,500,2000,10,mRMR,1176.798557947576,2.8049607124590947,5,1,standard
5,500,2000,10,mRMR_MS_linear,1257.7323228284251,6.358559434282899,5,1,standard
5,1500,100,10,CONMI_FS,0.9307906330097466,0.011481071237932041,5,1,standard
5,1500,100,10,MS_linear,1.0352943915408104,0.029989574815699156,5,1,standard
5,1500,100,10,greedy,240.9090520792641,0.35948981426562565,5,1,standard
5,1500,100,10,mRMR,260.60692235743625,7.3118260000366435,5,1,standard
5,1500,100,10,mRMR_MS_linear,246.58660226063802,2.4821307477366177,5,1,standard
5,1500,500,10,CONMI_FS,4.69195819911547,0.04522785925244432,5,1,standard
5,1500,500,10,MS_linear,5.02056485041976,0.15205914374792098,5,1,standard
5,1500,500,10,greedy,1274.8476825176738,23.902066869796453,5,1,standard
5,1500,500,10,mRMR,1432.158970560739,114.38515862007016,5,1,standard
5,1500,500,10,mRMR_MS_linear,1479.4851717609913,40.41686289902463,5,1,standard
5,1500,2000,10,CONMI_FS,18.213123019831254,0.31557815308323195,5,1,standard
5,1500,2000,10,MS_linear,33.68783527784981,2.171563643415703,5,1,standard
5,1500,2000,10,greedy,4712.832100422401,43.50113620725936,5,1,standard
5,1500,2000,10,mRMR,5186.7732935963195,11.316272098484662,5,1,standard
5,1500,2000,10,mRMR_MS_linear,6033.327755379165,278.21534185206843,5,1,standard
